Colonne 1,Parameter,Feature,Evaluation,Range of Evaluation,Description,Prompt,New Prompt
28,Symmetrical Balance,Framing,Boolean,Does the image framing use Symmetry?,Balances the elements of the image to create visual harmony through mirroring.,"Balancing the elements of the image to create visual harmony through mirroring.
Does the image framing use Symmetry?
Score type: Boolean.","This parameter identifies whether the image is based on clear visual symmetry, where elements are arranged to reflect each other on either side of a central axis (vertical, horizontal, or diagonal). This can be true symmetry (mirror image) or a very similar distribution between the two halves of the image. This criterion only applies if this symmetrical organization actively structures the composition, and not in cases of simple overall balance without reflection or apparent duplication.

Examples:
– True: The image shows frontal symmetry (e.g., centered facade, reflection in water, mirrored portrait), with a balanced alignment of elements on either side of an axis.

– False: The image is well-balanced, but without symmetrical construction; the elements are not reflected or distributed equally."
29,Framing Viewer,Framing,Radio,"Rule of Thirds, Golden Rectangles, Golden Spiral, Center, Diagonal Leading Lines, Golden Triangles, Symmetrical Balance, None",Indicates the type of framing seen by the viewer.,"Indicates the type of framing seen by the viewer.
Choose only one of the framing types from list below:
Rule of Thirds, Golden Rectangles, Golden Spiral, Diagonal Leading Lines, Golden Triangles, Symmetrical Balance, None.","This parameter identifies the dominant structural framing used in the image, based on classical compositional principles. It determines the geometric or perceptual logic that organizes the arrangement of visual elements: grids, spirals, leading lines, axes of symmetry, etc. The choice should be based on the most clearly identifiable pattern, even if others are present in a secondary role.

Possible options:
– Rule of Thirds: The composition follows a grid of horizontal and vertical thirds, with the subject or key elements placed on the lines or intersections.

– Golden Rectangles: The scene is organized around rectangles with golden proportions, suggesting a balanced mathematical structure.

– Golden Spiral: The image follows a curved and progressive visual flow, guiding the eye along the Fibonacci spiral.

– Diagonal Leading Lines: The composition is built on dominant oblique lines, directing the gaze and adding dynamism to the scene.

– Golden Triangles: The image is structured with slanted triangles, creating balanced tension.

– Symmetrical Balance: The image exhibits strong visual symmetry, with a mirror effect or an equivalent distribution of mass.

– Center: The subject is clearly placed in the center of the frame, without any dominant secondary geometric logic.

– None: No structuring framing scheme is perceptible in the composition."
30,Lens Flare,Lens Quality,Boolean,,Existence of lens flare in the photo.,"Is there lens flare in the photo?
Score type: Boolean.","This setting detects unwanted light reflections generated by direct light sources entering the lens. These reflections can appear as halos, glare, colored spots, or diffuse streaks, often due to an unfavorable shooting angle or the absence of optical protection. It only evaluates the optical effects internal to the lens, not reflections present in the scene itself.

Examples:
– True: The image shows a light halo or diffuse spots from direct light in the frame or at the edge of the field of view.

– False: No optical reflections are visible, or the reflections are from a mirror, a water surface, or a naturally reflective object in the scene.

"
31,Haze Impact,Lens Quality,Score,"No haze, Haze",The possibility of haze being present in the photo.,"Is there haze in the photo?
Give your response as the probability of a haze being present in the photo.
Score type: Continuous score between 0 and 100.","This parameter measures the likelihood of atmospheric haze being present in the image by evaluating visual cues such as reduced contrast, softening of distant shapes, and general light scattering. Perceptible haze manifests as a loss of sharpness in the background, a diffuse light haze, and a softening of colors or edges. The score reflects the degree of visual certainty that this effect is indeed due to haze, and not to optical blur or digital processing.

Scoring examples:
- 0: The image is sharp and contrasted across all planes, with no signs of haze or light scattering.
- 50: A haze is perceptible in the distance, but the image remains clear; the effect is probable but moderate.
- 100: The haze is clearly identifiable, impacts the perceived depth of field, and creates a generalized diffuse effect."
32,Haze Presence,Lens Quality,Boolean,,"A fog-like, low-contrast cast that covers the entire image, often due to a dirty lens, filter, or internal lens elements. Haze reduces overall clarity and saturation, giving the scene a dull, faded look.","Look at the image, is there any part of the image where haze causes a reduction in clarity or makes that part of the image appear dull? If the haze results in a noticeable lack of sharpness, contrast, or color saturation in any section of the image, it should be considered as haze. Pay attention to areas that appear washed out, blurred, or foggy, which could indicate atmospheric haze affecting the image.
Score type: Boolean.","This setting detects the presence of optical haze or unwanted haze affecting all or part of the image. This phenomenon manifests as a noticeable loss of clarity, saturation, or contrast, often perceived as a whitish cast, a washed-out appearance, or a diffuse blur. It can be caused by a dirty, fogged, or defective lens, or by an accumulation of optical residue. The effect must be visually perceptible and distinct from an intentional aesthetic style or a naturally hazy atmosphere.

Examples:
– True: Part of the image appears blurred, dull, or hazy in a way that is inconsistent with the scene; clarity and contrast are abnormally reduced.

– False: The image is sharp and saturated, or the hazy appearance is clearly atmospheric or intentionally incorporated as an artistic effect."
33,Dust Visibility,Lens Quality,Score,"No dust, Dust",Probability of dust visibility in the photo.,"Is there any dust visible in the photo?
Provide your response as the probability of dust being present.
Score type: Continuous score between 0 and 100.","This parameter assesses the likelihood that visible spots in the image are caused by dust on the sensor, lens, or filter. These marks typically appear as small, blurred, circular, or diffuse areas, particularly noticeable against uniform backgrounds such as the sky. The score reflects the probability that these marks are indeed dust particles, and not elements of the scene or artistic artifacts.

Examples of scores:
- 0: No dust is visible; the image is clean across all bright areas.
- 50: One or two spots are visible, but their origin is uncertain; the probability is moderate.
- 100: Obvious dust particles are present in several areas, clearly perceptible and not originating from the scene."
34,Dust Existence,Lens Quality,Boolean,,"Small, dark spots or specks that appear in the same areas of multiple images, often caused by dust on the sensor or lens. These spots remain stationary across frames, typically visible against bright, uniform backgrounds.","Look at the image, is there any sign of a dusty or unclear lens? You should consider whether there are noticeable spots, streaks, or hazy areas across the image, which could indicate dirt, dust, or smudges on the lens. Pay attention to areas where light reflections might appear distorted or blurry, and assess if these inconsistencies affect the overall clarity and sharpness of the image.
Score type: Boolean.","This setting detects the visible presence of dust, dirt, or smudges on the lens or sensor, manifesting as blurry, dark, or streaky areas in the image. These marks generally appear in bright or uniform areas and are not related to objects in the scene. They can locally distort light or impair sharpness. This criterion should only be validated if the image shows clear signs of optical contamination, and not simply normal variations in the background.

Examples:
– True: One or more dark spots are visible in fixed locations, with a blurring or distortion effect inconsistent with the scene being photographed.

– False: No fixed or inconsistent marks are perceptible; sharpness and clarity are uniform across the entire image."
35,Fringe,Lens Quality,Boolean,Is True if Chromatic Aberration is happened in the image.,"A colored border, typically green or magenta, visible around high-contrast edges in an image. This occurs due to the lens’s inability to focus all wavelengths of light at the same point.","Detecting chromatic aberration in an image by examining high-contrast edges for unnatural color fringes.
Does the image display chromatic aberration around sharp transitions between dark and bright areas?
Score type: Boolean.","This parameter detects the presence of chromatic aberration in the image, generally perceptible as fine colored fringes (purple, green, magenta, etc.) located along high-contrast edges. This optical phenomenon results from the difficulty some lenses have in focusing all wavelengths of light to the same point. Only fringes visible in the sharp transition zones between light and dark areas should be considered, not artistic effects or natural reflections.

Examples:
– True: Artificial colored fringes appear around the edges of a building against a sky background, or on the sharp outlines of a brightly lit subject.

– False: The outlines are sharp and natural, without unwanted color; the color variations are an integral part of the scene or lighting."
36,Starburst,Lens Quality,Boolean,Is True if Starburst light effect is happened in the image.,"A distinctive pattern of radiating lines or “spokes” around bright point light sources, resulting in a star-like flare. This often occurs when shooting into lights such as street lamps, and is influenced by the aperture shape and lens design.","Symmetrical radiating lines or “spokes” around bright point light sources, influenced by lens aperture and design.
Does the image show a starburst effect with sharp, linear rays emanating from bright light sources?
Score type: Boolean.","This setting identifies the presence of a starburst effect, visible as sharp, linear beams of light emanating from a point light source (e.g., sun, lamp, spotlight). This symmetrical pattern is caused by the diffraction of light through the diaphragm blades, often amplified at small apertures. It should be clearly distinguishable from diffuse halos or optical flares and only applies to images where these beams form a perceptible starburst pattern.

Examples:
– True: A streetlamp at night generates regular, star-shaped beams of light; filtered sunlight produces a well-defined geometric burst.

– False: The light is diffuse, without structured radiation; the image contains a flare, halo, or overexposure without a starburst pattern."
37,Moire,Lens Quality,Boolean,,"A wavy or repetitive interference pattern that appears when the camera’s sensor sampling interacts with fine, repetitive textures, such as fabrics or screens. The result is a shimmering, rainbow-like or grid-like distortion that was not present in the original subject.","Carefully analyze the image for any signs of moiré patterns. Moiré patterns are optical artifacts caused by interference between fine, repetitive textures (e.g., fabrics with tight weaves, striped patterns, or blinds) and the digital sensor grid. These artifacts may appear as:

1.Wavy or rippling distortions.
2.Rainbow-like color artifacts.
3.A shimmering or unnatural texture appearance in areas with high-frequency details.
Pay particular attention to areas with fine patterns, such as clothing fabrics, blinds, or screens, even if the distortion is subtle or localized.

If any distortions or interference artifacts are present, return True.
If the image appears entirely natural and smooth, with no interference, return False.
Score type: Boolean.","This parameter detects the presence of moiré patterns in the image, which are optical artifacts generated by the interference between fine, repetitive textures (fabrics, stripes, grids, screens, etc.) and the digital sensor grid. Moiré manifests as wavy distortions, halftone effects, rainbow-like colored artifacts, or an abnormal shimmering texture. These anomalies often appear in areas with high spatial frequencies, even if subtle or localized.

Examples:
– True: A finely patterned fabric produces colored waves; a screen displays an unstable or shimmering grid; a repetitive texture creates unnatural visual waves.

– False: The patterns remain sharp and regular without distortion; no color alteration or artificial shimmering is visible in the fine areas."
38,ColorMode,Color,Boolean,Is true if the image is in black and white.,Indicates whether the image is in color or black and white.,"Indicates whether the image is in color or black and white.
Is True if the image is in black and white. If it is in color, the value is False.
Score type: Boolean.","This parameter identifies whether the image is black and white or color. An image is considered black and white only if no color information is present: all pixels must be pure grayscale, without any color tint. Desaturated styles, colored monochrome filters (e.g., sepia, cyanotype), or limited palettes remain color images, even if they appear visually muted.

Examples:
– True: The image contains only shades of gray, without any trace of color or color tone.

– False: The image contains one or more tints, even subtle ones (soft yellow, pastel blue, vintage filter), or exhibits partial desaturation."
39,Hue,Color,List,"Yellow, Amber, Orange, Vermillion, Red, Magenta, Purple, Violet, Blue, Teal, Green, Chartreuse","Hue refers to the specific color or shade, dominant in an image. It's the attribute that determines the color itself, like red, blue, or yellow, without affecting brightness or contrast.","Hue refers to the specific color or shade, dominant in an image. It's the attribute that determines the color itself, like red, blue, or yellow, without affecting brightness or contrast.
What is the dominant color of the image?
Choose from the following list (multiple colors may apply as dominant):
[""Yellow"", ""Amber"", ""Orange"", ""Vermillion"", ""Red"", ""Magenta"", ""Purple"", ""Violet"", ""Blue"", ""Teal"", ""Green"", ""Chartreuse""]
Only choose from the above list. Do not include any other colors in your response. For example, you should not include white, black, gray or brown in your response.
Score type: text.","This parameter identifies the dominant hues present in the image, based on perceived color, regardless of brightness or contrast. A hue here refers to a primary chromatic color (red, blue, green, etc.) and not a shade of gray, black, or white.

The image can contain a single dominant color, or up to a maximum of three colors, each with an estimated percentage of visual dominance. These percentages should reflect the perceived visual proportion in the image and total approximately 100%.

A suggested list of typical hues is provided below, but you can include others if they are clearly dominant in the image:

""Yellow"", ""Amber"", ""Orange"", ""Vermilion"", ""Red"", ""Magenta"", ""Purple"", ""Blue"", ""Teal"", ""Green"", ""Chartreuse""

Do not include neutral colors (black, white, gray, brown), even if they occupy a significant area.

Expected output format:
A list of 1 to 3 colors maximum, each with an approximate percentage (e.g., ""Blue"" 70%, ""Orange"" 30%).

Examples:
- ""Blue"" 100%: Uniformly bluish image (sky, background, atmosphere).

- ""Red"" 60%, ""Orange"" 40%: Image with warm tones distributed between two closely related ranges.

- ""Green"" 60%, ""Teal"" 25%, ""Chartreuse"" 15%: Natural landscape blending several dominant plant colors."
40,Luminosity,Color,Score,"Dark, Bright","Luminosity refers to the brightness or light intensity of an image. It determines how light or dark the colors appear, without changing their hue or saturation.","Luminosity refers to the brightness or light intensity of an image. It determines how light or dark the colors appear, without changing their hue or saturation.
Value of 0: The colors of the image are predominantly dark;
At 100: The colors of the images are very bright.
Score type: continuous score between 0 and 100.","# 🧠 Prompt AI — Brightness Assessment (v1.2 enhanced)

## 🎭 ROLE

You are an AI specializing in photographic analysis. Your task is to assess the **overall brightness** of an image. This does not concern technical exposure or the directional quality of light, but only the **overall perceived brightness**.

---

## 🧪 3-STEP METHOD

1. **Blurred Reading (optional but recommended)**: Start by analyzing a heavily blurred version of the image to neutralize details and estimate the perceived average brightness.

2. **Observing Dominant Areas**: Identify the relative proportion of light and dark areas in the image.

3. **Rating on the Brightness Scale**: Assign a score between 0 and 100 based on the overall visual balance.

---

## 📊 RATING GUIDELINES

| Overall Lighting | Light Dominance | Extensive Dark Areas | Indicative Rating |

| ---------------- | ---------------- | ---------------------- | --------------- |

| Very High | Yes | No | 85–100 |

| Moderate Light | Yes | Low | 65–80 |

| Balanced | Balanced | Balanced | 45–60 |

| Low | Low | Dominant | 20–40 |

| Very Dark | No | Yes | 0–20 |

---

## 🌐 EXTREME BLUR READING (optional but recommended)

This method allows you to:

* neutralize the influence of local details and fine contrasts,
* reproduce a **perceptual average of overall illumination**,
* mimic how a photographer assesses the clarity of an image at first glance.

👉 Recommended **especially in cases with high dynamic range** (e.g., nighttime urban scenes, dark staircases with spot lighting).

---

## 🎯 PARAMETER PURPOSE: Brightness (Parameter 40)

Brightness **corresponds to the perceived light intensity on an overall scale. An image can be:

* dark (low key),
* balanced,
* bright (high key).

⚠️ This criterion does not judge **technical exposure** (blocked or blown-out areas), **light direction**, or **contrast**. It only considers the **overall impression of illumination**.

---

## 🔢 RATING SCALE

* `0–15`: Near total darkness (night scene with no light source)
* `20–35`: Controlled dark atmosphere (low key)
* `40–55`: Natural lighting, visual balance
* `60–75`: Bright image, perception of openness or clarity
* `80–100`: High key or extremely bright atmosphere

📌 A very dark image can receive a low rating without this calling into question its quality — **the rating does not evaluate artistic intention or achievement.**

---

## ❌ MISTAKES TO AVOID

* Do not confuse **overall brightness** and **exposure quality**.

* Do not be misled by locally bright areas or vivid colors.

* Do not overestimate the light based on isolated or point reflections.

---

## 🧠 EXPECTED OUTPUT (JSON)

```json
{
""parameter"": ""Brightness"",

""score"": 50,

""explanation"": ""The image has soft, even lighting. There are no very dark areas or overexposed areas. The overall impression of brightness is balanced.""

}
```

---

## 🧪 EXAMPLES (A to L)

**Image A:** Clear chiaroscuro portrait ➜ `Brightness = 30`

**Image B:** Very bright scene with a clear sky and white elements, in a high-key style ➜ `Brightness = 80`

**Image C:** Balanced photo, homogeneous diffused light ➜ `Brightness = 50`

**Image D:** White snake on a light background, natural light ➜ `Brightness = 90`

**Image E:** Textured white wall, brightly lit ➜ `Brightness = 95`

**Image F:** Metal keys on a very dark interior background ➜ `Brightness = 20`

**Image G:** Chiaroscuro portrait with a black background ➜ `Brightness = 30`

**Image H:** Book in soft light on stone ➜ `Brightness = 55`

**Image I:** Dark stairs with light at the top ➜ `Brightness = 40`

**Image J:** Night skyline, spotlight on buildings ➜ `Brightness = 45`

➡️ These examples cover a full range of situations, from extreme low key to diffuse high key, and include cases with high dynamic range. (D to L) will enrich this section based on tests conducted.

---

## 📚 TYPICAL GUIDELINES ACCORDING TO VISUAL STYLES

| Photographic Intention | Expected Brightness | Exposure (Out of Scope) |

| --------------------------- | ------------------- | ----------------------- |

| Low key (dark intention) | 15–35 | Can be well exposed |

| Balanced / Neutral | 40–60 | Standard reading |

| High key (clear intention) | 70–95 | May be well exposed |

> 💡 **Note:** These guidelines are used to situate the **brightness** within a visual intention. They do not indicate whether the image is well or poorly exposed."
41,Saturation,Color,Score,"Desaturated, Saturated","Saturation refers to the intensity or purity of a color in an image. Higher saturation means more vivid, richer colors, while lower saturation results in more muted or greyish tones.","Saturation refers to the intensity or purity of a color in an image. Higher saturation means more vivid, richer colors, while lower saturation results in more muted or greyish tones.
Value of 0: The colors of the image are completely desaturated (black and white image);
At 100: The colors of the images are extremely saturated.
Score type: continuous score between 0 and 100.","This parameter measures the image's saturation level, that is, the intensity or purity of the perceived colors. High saturation results in rich, vibrant, and dense hues; low saturation produces more muted, subdued, or grayish tones. This criterion does not take into account clarity or brightness: a color can be dark but highly saturated (deep red, midnight blue), or light and desaturated (pastel tones).

Examples of ratings:
- 0: The image is entirely black and white; no color is present.
- 50: The colors are visible but moderate, neither dull nor vivid.
- 100: The colors are intense, bold, and highly saturated, with a very strong visual impact."
42,Exposure,Visual Opinion,Score,"Underexposed, Overexposed",Overall exposure of the image.,"The degree to which an image is exposed, focusing on the retention of detail in both highlights and shadows.
Value of 50: The image is correctly exposed, with balanced detail in both highlights and shadows.
Below 50: The image is underexposed, lacking detail in the shadows.
Above 50: The image is overexposed, lacking detail in the highlights.
Score type: Continuous score between 0 and 100.","# 🧠 Prompt AI — Exposure Assessment (v1.5)

## 🎭 ROLE

You are an **expert exposure photo critic**. You receive an image and must assess **its exposure quality**, that is, the balance between the captured light and the subject's legibility, regardless of the visual style.

---

## 🎯 PURPOSE OF THE SCORE (IMPORTANT)

Assign an **absolute score out of 100** according to this scale:

* `0` = Clearly **underexposed** image: very dark, lost information, illegible subject.

* `50` = **Correct exposure**: legible image, preserved details, no blown-out or blocked-up areas.

* `100` = Clearly **overexposed** image: blown-out areas, lost details, uncontrolled light.

The rating must reflect **the degree of deviation from a neutral exposure**.

---

## 🔍 EVALUATION METHODOLOGY

### 🧩 1. **Identify the visual style**

Start by identifying the lighting intention among the following:

* **High-key**: intentionally bright, white, soft, pastel image.

* **Standard**: balanced image, moderate contrast, neutral lighting.

* **Low-key**: dark, dramatic image, high contrast, black background.

⚠️ **Don't confuse lighting style with exposure.** A well-executed low-key image can be correctly exposed, just like a well-executed high-key image.

> ⚠ **Caution: an image can be underexposed even without blown-out or blocked-up areas.**
>
> * A **high-key** image without blown-out areas but too dull is **underexposed**.

> * A low-key image without blocked-up areas but too bright is overexposed.

> * **Exposure is judged within the context of the visual style.**

### 🔦 2. **Exposure Analysis**

Indicate whether the actual exposure of the image respects its stylistic intention. Consider the following:

* **Is the subject clearly legible?** (even with visual blur)
* **Are there any unjustified blown-out or blocked-up areas?**
* **Does the contrast hinder the image's clarity?**
* **Is the stylistic intention betrayed by poor exposure?**

### 🎯 3. **How ​​to assign a rating?**

#### Standard image

* Good exposure → 50
* A little dark → 30–45
* Very dark / illegible → 0–25
* A little too bright → 55–70
* Blown-out / lost areas → 80–100

#### High-key style

* High-key well executed → 50
* Overexposed, without Details → `70–100`
* Not clear enough to be believable → `30–45`

#### Low-key style

* Legible, balanced low-key → `50`
* Too blocked up, too dark → `0–30`
* Not bold enough (neither light nor dark) → `40–45`

---

## 📝 OUTPUT FORMAT

Respond in this JSON format:

```json
{
""exposure_note"": 50,

""explanation"": ""The image is in a controlled low-key style: the main subject remains legible, the blacks are deep without losing essential details. The exposure is intentionally dark but well-balanced, therefore correct.""

}
```

---

## 🛑 MISTAKES TO AVOID

* ❌ Don't rely solely on **overall brightness**.

* ❌ Don't overestimate a poorly executed high-key image.

* ❌ Don't penalize a well-executed low-key image.

* ❌ Don't rate relatively: an image should be worth **50 if it is correctly exposed** in its style.

* ❌ Don't ignore the **visual style** simply because there are no blown-out/blocked-up areas.

---

## 📊 EXAMPLES OF RATINGS

* `50`: Correct exposure (low-key, high-key, or standard well-executed).

* `80–100`: Overexposed — blown-out areas, lost detail.

* `0–30`: Underexposed — image too dark, subject illegible.

* `35–45` or `55–70`: Slightly under/overexposed."
43,Contrast,Visual Opinion,Score,"Soft, Hard",Difference between the darkest and lightest parts.,"Difference between the darkest and lightest parts: 0 to 100.
Score type: continuous score between 0 and 100.","This parameter measures the degree of difference in brightness between the darkest and lightest parts of the image. High contrast produces a very sharp image, with deep blacks and bright whites, while low contrast results in a soft, veiled, or slightly hazy visual appearance. The score should reflect the overall intensity of the perceived contrast, regardless of color saturation or sharpness.

Examples of scores:
- 0: The image is very flat, with no sharp shadows or highlights; everything appears uniform.
- 50: There is a noticeable difference between light and dark areas, but it is neither strong nor weak—a neutral visual balance.
- 100: The extremes of light and dark are pushed to the maximum, with strong visual tension and sharp edges."
44,Sharpness,Visual Opinion,Score,"Not sharp, Too sharp","Sharpness refers to the clarity and distinctness of an image'sdetails. It determines how well edges and fine details are defined, affecting the overall perceived crispness and focus of the photo.","Sharpness refers to the clarity and distinctness of an image's details. It determines how well edges and fine details are defined, affecting the overall perceived crispness and focus of the photo.
Value of 0: The details of the image are not sharp;
At 100: Image details too sharp (Clarity+)
Score type: continuous score between 0 and 100.","Visual Acuity Score Not Sharp, Too Sharp Sharpness refers to the clarity and distinction of details in an image. It determines the quality of the definition of edges and fine details, affecting the overall perceived sharpness and focus of the photo. ""Sharpness refers to the clarity and distinction of details in an image. It determines the quality of the definition of edges and fine details, affecting the overall perceived sharpness and focus of the photo.
Value of 0: Image details are not sharp;
To 100: Image details are too sharp (Clarity+)
Score type: continuous score between 0 and 100."""
45,Digital noise,Visual Opinion,Score,"Not grain, Lot of grain","Digital noise refers to random, grainy specks in an image, often seen in low-light conditions or at high ISO settings. It can reduce image clarity and detail.","Digital noise refers to random, grainy specks in an image, often seen in low-light conditions or at high ISO settings. It can reduce image clarity and detail.
Value of 0: The image does not present grain / digital noise;
At 100: The image has a lot of grain / digital noise
Score type: continuous score between 0 and 100.","# 🧠 Prompt AI — Noise/Digital Grain Assessment

## 🎭 ROLE

You are an **image critic specializing in the technical analysis of photographic rendering**, tasked with evaluating the **presence, nature, and visual impact of digital noise** in an image.

---

## 🤩 OBJECTIVE

Evaluate the **quantity, visibility, and distribution of digital noise or grain**, understanding the **difference between digital noise (often colored, random) and aesthetic grain (often monochrome, regular)**. Both must be detected and rated according to their **actual visual presence**, whether unintentional or intentionally added.

✳️ **Caution**: Development or post-processing can **intensify** existing grain (via contrast, clarity, black and white toning, etc.) or add more for aesthetic reasons. The analysis must always be done **visually**: note what is visible in the image, regardless of its origin or intention, understanding the **difference between digital noise (often colored, random) and aesthetic grain (often monochrome, regular)**. Both must be detected and noted according to their **actual visual presence**, whether unintentional or intentionally added.

* **Monochrome** (luminance noise)
* **Colored** (chromatic noise)
* **Uniform** (diffuse noise across the entire image)
* **Localized** (dark areas, blurred transitions, etc.)

The goal is to determine whether this grain **impairs the image's legibility** or **serves a particular aesthetic**.

---

## 🧪 WHAT IT IS NOT

* This is **not** an artistic evaluation of analog grain (intentional film grain).

* This is **not** simply a blurry or soft interpretation: blur can mask noise, but it doesn't replace it.

* This is **not** a sharpness assessment, although the two can interact.

---

## 📏 EVALUATION CRITERIA

### 🧮 Perceived Grain Levels (Calibration Guide)

* **0–10**: No grain, perfectly clean image.

* **11–30**: Very subtle grain, visible only in certain areas (shadows, blurs), does not interfere with readability.

* **31–60**: Moderate grain, generally visible, begins to affect fine textures without impairing readability.

* **61–80**: Strong grain, impacted readability, noticeable roughness on faces and flat areas.

* **81–100**: Excessive grain, noise effect, or major visual disturbance.

1. **Presence**: Is the noise visible to the naked eye (in dark, blurry, uniform areas, or at the edges)?

2. **Type of Noise**:

* Luminance (black and white grain)
* Chromatic (color blemishes)

3. **Distribution**: Is it diffuse or concentrated? Does it affect certain key areas (faces, blurred backgrounds, dark areas)?

4. **Perceived Impact**:

* Does it impair the image's legibility?

* Does it add aesthetic texture or is it a technical flaw?

---

## 🌀 SPECIAL CASES

* **Irregular or Hybrid Exposure**: Some very dark or overexposed areas can visually mask or amplify the noise. The image should be interpreted accordingly.

* **Blur/Noise Conflict**: Background blur doesn't always smooth the image. In many photos, noise is more visible precisely in the blurred areas, especially in the background. It then manifests as noticeable grain, a ""cracked"" or grainy effect.

* **Added Grain in Post-Production**: Some images have grain intentionally added for aesthetic reasons. Even if this noise is intentional, it must be objectively evaluated based on its **perceived intensity**, its **distribution**, and its **visual impact**. The goal is not to judge the creative intent, but the **actual presence of grain**, whether natural, digital, or artistic.

---

## 🔎 READING TIP

Perform an **overall blurred reading** to isolate the general structure of the image. If localized or grainy disturbances persist within this blur (even perceptually), this reinforces the presence of noise.

---

## 🧭 Contextual Use of EXIF ​​Metadata *(if available)*

If EXIF ​​metadata is accessible, you can use it as a **contextual clue for interpretation**, but never consider it an automatic justification. In particular:

* **High ISO** (>3200): Noise may be expected, but its acceptability must remain **visually assessed**.

* **Sensor type** (e.g., smartphone, Micro Four Thirds, APS-C, full-frame, medium format): Can influence noise tolerance.

* **Camera model or brand**: Some cameras apply automatic processing (smoothing, noise reduction) that must be taken into account.

⚠️ **Caution**:

* Never penalize an image for the absence of EXIF ​​data.

* Do not **over-justify** poor quality based solely on EXIF ​​data.

* This criterion should **never take precedence over direct visual analysis**.

---

## 🌟 SAMPLE RATINGS

### 🎓 Calibration Examples (Added Grain)

| Image | Description | Rating |

| ------- | --------------------------------------------- | ---- |

| Image 1 | Very light grain, overall clean image | 12 |

| Image 2 | Moderate grain visible throughout but tolerable | 32 |

| Image 3 | Heavy grain, starting to obscure details | 61 |

| Image 4 | Very heavy grain, visual noise effect | 85 |

* **Rating 0/100**: Very clean image, no visible grain even in sensitive areas.

* **Rating 50/100**: Visible but controlled grain, light in dark areas, without hindering readability.

* **Rating 100/100**: Very noisy image, colored spots in the shadows, obvious loss of detail."
46,Light Source Viewer,Visual Opinion,List,"Ambient, Directed",Indicates whether the lighting is ambient or directed by the photographer from the viewer's point of view.,"Indicates whether the lighting is ambient and/or directed by the photographer from the viewer's point of view.
Choose any of the following that apply (both and None can also be chosen): Ambient, Directed.
Score type: text","This setting identifies, from the viewer's perspective, whether the light illuminating the scene appears ambient (uncontrolled) or directed by the photographer (controlled).

– Ambient light refers to diffuse or natural lighting, such as daylight, indoor fluorescent lights, or streetlights, without any obvious signs of direction or shaping.

– Directed light corresponds to a clearly controlled, focused, or oriented source (flash, spotlight, light sculpted onto the subject).

– Both types can coexist if an ambient scene is complemented by a point light source.

– The ""None"" category applies if no identifiable light source can be deduced from the image (e.g., flat rendering, abstraction, virtual lighting).

Possible choices: ""Ambient"", ""Directed"", ""Ambient and Directed"", ""None"""
47,Light Softness Viewer,Visual Opinion,Score,"Soft, Hard",Indicates the harshness of the lighting (not to be confused with the contrast of the image) evaluated by the viewer.,"Indicates the harshness of the lighting (not to be confused with the contrast of the image) evaluated by the viewer: Soft or Hard.
Value of 0: Soft;
At 100: The Hard.
Score type: continuous score between 0 and 100.","This parameter measures the perceived harshness of the lighting in the image by analyzing how light shapes forms, shadows, and transitions. Soft light produces blurred shadows with soft edges and gradual transitions between light and shadow. Hard light creates sharp, defined shadows with sharp contours and pronounced modeling. This criterion should not be confused with the overall contrast of the image: it focuses solely on the directional quality and diffusion of light.

Examples of ratings:
- 0: Very diffuse light with no pronounced shadows; transitions are soft, as in cloudy or filtered light.

- 50: The lighting exhibits both moderate shadows and soft edges.

- 100: The light is very harsh: shadows are sharp and defined, and volumes are strongly sculpted by point sources."
48,Color Temperature,Visual Opinion,Score,"Cold, Warm",Cold or warm rendering of the image.,"Cold or warm rendering of the image:
Value of 0: The image is very cold (blue tones);
At 100: The image is very warm (orange tones).
Score type: continuous score between 0 and 100.","This parameter measures the perceived color temperature of the image, that is, the visual cast ranging from blue (cool) to orange (warm). A cool temperature results in a bluish, neutral, or slightly greenish cast, evoking cool, morning, or artificial light. A warm temperature produces an orange, gold, or reddish cast, associated with evening light, warmth, or an intimate atmosphere. This score reflects the overall tone of the image, regardless of its saturation or brightness.

Examples of scores:
- 0: The image has a strong blue or cyan cast, giving a cold or metallic feel.

- 50: The colors are generally neutral, without a perceptible cool or warm cast.

- 100: The image is very warm: orange, gold, and red hues, with an enveloping, luminous atmosphere."
49,Visual Harmony,Visual Opinion,Score,"No, Extremely","The relationship between colors, shapes, and textures that creates a pleasing image to look at.","The relationship between colors, shapes, and textures that creates a pleasing image to look at.
Is there a blatant visual harmony in the image between colors, shapes and/or textures?
Value at 0: no;
Value at 100: extremely.
Score type: continuous score between 0 and 100.","This parameter measures the level of visual harmony in the image, that is, how colors, shapes, and textures interact to create an impression of coherence and balance. High harmony results in a fluid, visually pleasing composition in which no element appears dissonant or arbitrary. This criterion does not depend on a particular style, but rather on the perceived relationship between the visual components that structure the image.

Examples of scoring:
– 0: The image is visually chaotic, with no clear connection between shapes, textures, or colors; it gives an impression of disorder or incoherence.

– 50: Some elements harmonize visually, while others appear less integrated; the image conveys partial harmony.

– 100: The entire image forms a visually coherent whole, with a clear complementarity between textures, shapes, and colors."
